Species,Collector Number,Habit,Habitat,SIL,SIB,Culm Type,PL,PB,LSC,LSL,LSB,Ligule,LBL,LBB,Inflorescence Type,,IL,IB,IBL,IBB,SN,SL,SB,GN,ML,GL,GB,StN,SmN,AL,NL,NB,NC,NS,
Ficinis ixiodes subsp. ixioides,M.R.L 5797,tussocky,damp places on slope,0,0,basal ,260,0.72,lomy brown,59,3.24,present,158,0.77,Terminal,Absent,12.07,6.93,33.51,0.95,6,9.74,2.38,25,0.83,9,1.83,3,3,5,2.5,1.33,coffee brown,smooth,
Ficinis ixiodes subsp. ixioides,M.R.L 8113,tussocky,,0,0,basal ,363,1.2,lomy brown,49,3.08,present,234,1.25,Terminal,Absent,11.51,8.06,50.28,1.16,20,10.83,2.76,30,2.17,10.5,2.67,3,3,4.51,2.6,1.5,black,smooth,
Ficinis ixiodes subsp. ixioides,Esterhuysen 24060,tussocky,steep slope,0,0,basal ,38,0.39,lomy brown,92,1.12,present,79,1.12,Terminal,Absent,10.85,4.67,18.89,0.98,8,6.36,1.36,15,1.67,7.83,1,3,3,2.83,1.83,1,black,smooth,
Ficinis ixiodes subsp. ixioides,Levyns 958,tussocky,Upper slopes,0,0,basal ,62.9,0.89,lomy brown,23.35,3.37,present,41.78,0.66,Terminal,Absent,13.29,6.06,14.98,0.77,8,9.01,1.98,20,1.6,8.48,3.68,3,3,3.52,1.97,1.02,black,smooth,
Ficinis ixiodes subsp. ixioides,2964,tussocky,,0,0,basal ,275,1.3,light brown,58.11,2.21,present,140,1.03,Terminal,Absent,20.07,9.69,44.42,1.31,10,15.12,1.55,40,3.36,16.48,3.2,3,3,5.28,2.02,1.63,coffee black,smooth,
Ficinis ixiodes subsp. ixioides,Esterhuysen 27475,cespitose,towards the summit after fire,0,0,basal ,39,1.01,translucent light brown at the apex with brown to purple base,17.44,2.99,present,36.33,1.18,Terminal,Absent,14.59,5.93,17.72,1.29,6,10.23,2.85,15,1.6,11.2,2.4,3,3,5.28,1.92,1.76,black,perforated,
Ficinis ixiodes subsp. ixioides,M.R.L 2926,tussocky,swampy places in kloof,0,0,basal ,66.9,0.85,dark purple,34.44,2.6,present,48.62,0.94,Terminal,Absent,11.67,6.16,20.63,0.64,12,8.67,2.43,22,0.96,7.2,2.08,3,3,3.36,2.03,1.65,black,smooth,
Ficinis ixiodes subsp.?,Esterhuysen 27366,cespitose,,0,0,basal ,331.6,1.27,coffee brown,24.81,3.31,present,110.71,1.57,Terminal,Absent,12.73,4.53,27.48,1.63,8,14.27,1.76,20,1.28,9.12,1.92,3,3,3.52,2.88,1.76,coffee black ,spots run parallel the ridges,
Ficinis ixiodes subsp.?,Esterhuysen 8342,tussocky,,0,0,basal ,320.21,1.97,brown with patches of scarlet,43.35,2.7,present,97.76,1.45,Terminal,Absent,21.71,9.76,42.67,1.55,30,13.83,2.37,36,1.44,12.96,4.48,3,3,4.48,2.72,1.76,black ,reticulate,
Ficinis ixiodes subsp.?,Esterhuysen 16234,tussocky,burnt slopes near summit,0,0,basal ,197.23,1.33,light brown,34.45,1.18,present,101.5,2.1,Terminal,Absent,16.12,6.27,27.02,0.93,10,8.35,1.7,15,1.28,10.88,2.56,3,3,5.28,2.56,1.44,coffee brown ,smooth,
Ficinis ixiodes subsp.?,Esterhuysen 23923,cespitose,in marsh on the sandy plateau,0,0,basal ,294.6,1.62,dark scarlet,41.23,2.81,present,158.52,1.5,Terminal,Absent,16.45,9.02,39.2,1.07,20,11.83,3.6,32,1.6,9.44,3.2,3,3,3.1,2.08,1.68,black ,reticulate,
Ficinis ixiodes subsp.?,Esterhuysen 16533,tussocky,west slopes of the Witteberg,0,0,basal ,249.26,1.71,brown with dark scarlet patches,25.29,2.71,present,90.58,1.59,Terminal,Absent,16.99,7.18,32.52,1.31,12,12.76,2.32,22,1.76,12.8,3.84,3,3,5.92,2.12,1.32,black,smooth,
Ficinis ixiodes subsp. glabra,Esterhuysen 8067,cespitose,,0,0,basal ,313.78,1.3,coffee brown,54.68,4.17,present,124.94,0.97,Terminal,Absent,15.12,6.92,24.19,0.58,8,11.67,2.21,20,2.88,10.4,4,3,3,2.72,2.08,1.44,grey to black ,protrusions on surface,irregularly shaped with rough edges
Ficinis ixiodes subsp. glabra,Esterhuysen 13068,cespitose,Shale band east,0,0,basal ,115.41,1.17,light brown,18.92,4.34,present,57.09,0.88,Terminal,Absent,12.71,6.35,24.92,0.88,6,11.08,1.8,12,3.68,11.52,3.02,3,3,4,2.08,1.28,forest green to black,dimpling,
Ficinis ixiodes subsp. glabra,Esterhuysen 12194,cespitose,slopes of the peak,0,0,basal ,199.25,0.89,coffee brown,38.8,3.27,present,87.73,0.56,Terminal,Absent,10.45,7.61,19.74,0.82,10,5.87,3.78,14,1.92,8.16,2.72,3,3,3.24,2.24,1.52,black with patches of forest green ,smooth,
Ficinis ixiodes subsp. glabra,Esterhuysen 18052,cespitose,moist ledges and steep south slopes,0,0,basal ,127.14,1.65,dark scarlet,59.37,2.97,present,81.25,0.88,Terminal,Absent,13.26,6.43,26.61,0.73,8,8.6,1.71,16,0.96,9.6,2.56,3,3,2.76,2.08,1.6,forest green to black,dimpling,
Ficinis ixiodes subsp. glabra,Esterhuysen 28039,cespitose,Rocky summit,0,0,basal ,99.47,1.099,dark brrown,22.15,2.16,present,102.59,1.13,Terminal,Absent,13.35,3.47,36.86,0.99,6,11.66,2.1,12,1.6,9.44,1.44,3,3,4.96,2.24,1.36,forest green to black,dimpling,
Ficinis ixiodes subsp. glabra,Esterhuysen 1521,tussocky,on stony slopes,0,0,basal ,47.72,0.96,dark scarlet,25.36,2.63,present,41.7,1.05,Terminal,Absent,12.01,4.86,18.82,1.01,8,8.87,2.61,14,0.96,8.16,2.56,3,3,2.82,2.08,1.36,brown to black,dimpling,
Ficinis ixiodes subsp. glabra,Esterhuysen 19418,cespitose,,0,0,basal ,98.65,0.95,dark scarlet,49.98,2.95,present,56.56,0.78,Terminal,Absent,10.8,6.29,22.76,0.73,8,7.14,1.37,12,0.96,6.88,1.04,3,3,2.88,2,1.6,forest green to black,dimpling,
Ficinis ixiodes subsp. glabra,Esterhuysen 209659,cespitose,on the plateau,0,0,basal ,67.4,1.4,dark brrown,26.56,4.61,present,59.94,0.78,Terminal,Absent,12.41,6.54,21.3,0.8,6,9.9,1.93,14,1.12,7.84,2.08,3,3,3.12,1.92,1.44,forest green to black,dimpling,
